game_detail,date,opening_total_line,opening_result,closing_total_line,closing_result,game_total,game_id
GB 10 @ CHI 3,2019-09-05,46.5,under,47.0,under,13,2019_01_GB_CHI
ATL 12 @ MIN 28,2019-09-08,48.0,under,47.0,under,40,2019_01_ATL_MIN
BAL 59 @ MIA 10,2019-09-08,38.0,over,41.0,over,69,2019_01_BAL_MIA
BUF 17 @ NYJ 16,2019-09-08,40.5,under,41.0,under,33,2019_01_BUF_NYJ
KC 40 @ JAC 26,2019-09-08,51.5,over,49.0,over,66,2019_01_KC_JAX
LAR 30 @ CAR 27,2019-09-08,50.0,over,49.5,over,57,2019_01_LA_CAR
TEN 43 @ CLE 13,2019-09-08,45.5,over,44.0,over,56,2019_01_TEN_CLE
WAS 27 @ PHI 32,2019-09-08,45.5,over,44.0,over,59,2019_01_WAS_PHI
CIN 20 @ SEA 21,2019-09-08,44.0,under,44.0,under,41,2019_01_CIN_SEA
IND 24 @ LAC 30,2019-09-08,44.5,over,44.5,over,54,2019_01_IND_LAC
DET 27 @ ARI 27,2019-09-08,46.5,over,45.5,over,54,2019_01_DET_ARI
NYG 17 @ DAL 35,2019-09-08,45.5,over,44.0,over,52,2019_01_NYG_DAL
SF 31 @ TB 17,2019-09-08,51.0,under,51.0,under,48,2019_01_SF_TB
PIT 3 @ NE 33,2019-09-08,49.5,under,49.0,under,36,2019_01_PIT_NE
HOU 28 @ NO 30,2019-09-09,52.5,over,52.0,over,58,2019_01_HOU_NO
DEN 16 @ OAK 24,2019-09-09,43.5,under,42.5,under,40,2019_01_DEN_OAK
ATL 12 @ PHI 18,2018-09-06,46.5,under,44.5,under,30,2018_01_ATL_PHI
BUF 3 @ BAL 47,2018-09-09,42.5,over,39.0,over,50,2018_01_BUF_BAL
CIN 34 @ IND 23,2018-09-09,47.0,over,47.5,over,57,2018_01_CIN_IND
HOU 20 @ NE 27,2018-09-09,51.0,under,49.5,under,47,2018_01_HOU_NE
JAC 20 @ NYG 15,2018-09-09,44.0,under,43.0,under,35,2018_01_JAX_NYG
PIT 21 @ CLE 21,2018-09-09,47.0,under,41.0,over,42,2018_01_PIT_CLE
SF 16 @ MIN 24,2018-09-09,47.0,under,46.5,under,40,2018_01_SF_MIN
TB 48 @ NO 40,2018-09-09,51.5,over,50.0,over,88,2018_01_TB_NO
TEN 20 @ MIA 27,2018-09-09,46.5,over,43.5,over,47,2018_01_TEN_MIA
KC 38 @ LAC 28,2018-09-09,47.5,over,48.0,over,66,2018_01_KC_LAC
DAL 8 @ CAR 16,2018-09-09,44.0,under,42.5,under,24,2018_01_DAL_CAR
SEA 24 @ DEN 27,2018-09-09,42.0,over,42.5,over,51,2018_01_SEA_DEN
WAS 24 @ ARI 6,2018-09-09,44.0,under,43.5,under,30,2018_01_WAS_ARI
CHI 23 @ GB 24,2018-09-09,48.0,under,45.0,over,47,2018_01_CHI_GB
NYJ 48 @ DET 17,2018-09-10,44.0,over,44.0,over,65,2018_01_NYJ_DET
LAR 33 @ OAK 13,2018-09-10,49.5,under,47.5,under,46,2018_01_LA_OAK
KC 42 @ NE 27,2017-09-07,48.5,over,47.5,over,69,2017_01_KC_NE
JAC 29 @ HOU 7,2017-09-10,42.0,under,38.0,under,36,2017_01_JAX_HOU
NYJ 12 @ BUF 21,2017-09-10,42.5,under,42.0,under,33,2017_01_NYJ_BUF
