name,id,teams,grpid
A.Allen,32013030-2d30-3032-3831-36336308f66a,BAL (2011-2012),ant-allen-rb
A.Allen,32013030-2d30-3032-3835-3635b6007d86,CHI (2011-2012),armando-allen-rb
A.Benn,00-0027654,TB (2010-2010),arrelious-benn
A.Benn,32013030-2d30-3032-3736-3534e1a99468,TB (2011-2012),arrelious-benn
A.Boldin,00-0022084,"ARI (2003-2009),BAL (2010-2010)",anquan-boldin
A.Boldin,32013030-2d30-3032-3230-38343770790e,"BAL (2012-2012),SF (2013-2014)",anquan-boldin
A.Bradshaw,00-0025637,NYG (2007-2010),ahmad-bradshaw
A.Bradshaw,32013030-2d30-3032-3536-33375c8435f2,"IND (2013-2015),NYG (2011-2012)",ahmad-bradshaw
A.Brown,00-0021425,"BUF (2003-2003),WAS (2005-2005)",ant-d-brown-wr
A.Brown,00-0027094,DEN (2010-2010),andre-brown-wr
A.Brown,32013030-2d30-3032-3730-3934551d8d0c,NYG (2012-2013),andre-brown-wr
A.Brown,00-0027129,DET (2009-2010),aaron-brown-rb
A.Brown,32013030-2d30-3032-3731-323975915d96,DET (2011-2011),aaron-brown-rb
A.Brown,32013030-2d30-3032-3737-393324cab550,"NE (2019-2019),PIT (2011-2018)",antonio-brown-wr
A.Brown,32013030-2d30-3033-3536-3736617676fa,TEN (2019-2019),aj-brown
A.Caldwell,00-0026237,CIN (2008-2010),andre-caldwell-wr
A.Caldwell,32013030-2d30-3032-3632-3337d0ecaeae,DEN (2012-2015),andre-caldwell-wr
A.Davis,00-0021175,"CLE (2002-2004),NE (2005-2005)",andre-davis-wr
A.Davis,32013030-2d30-3032-3839-35372ad9e22c,"CLE (2015-2015),LA (2014-2014),SEA (2017-2017)",austin-davis-qb
A.Dixon,00-0027772,SF (2010-2010),ant-dixon-rb
A.Dixon,32013030-2d30-3032-3737-37326a9eb7b1,"BUF (2014-2015),SF (2011-2013)",ant-dixon-rb
A.Edwards,00-0027692,CAR (2010-2010),armanti-edwards-qb
A.Edwards,32013030-2d30-3032-3736-39325eed10ba,"CAR (2011-2012),CLE (2013-2013)",armanti-edwards-qb
A.Feeley,00-0020305,"MIA (2004-2004),PHI (2001-2007)",aj-feeley-qb
A.Feeley,32013030-2d30-3032-3033-3035a2bdfac5,LA (2011-2011),aj-feeley-qb
A.Foster,00-0026796,HOU (2009-2010),arian-foster-rb
A.Foster,32013030-2d30-3032-3637-3936506d4e12,"HOU (2011-2015),MIA (2016-2016)",arian-foster-rb
A.Green,00-0006305,"GB (2000-2009),HOU (2007-2008),SEA (1999-1999)",ahman-green-rb
A.Green,32013030-2d30-3032-3739-3432de086283,CIN (2011-2014),aj-green-wr
A.Green,32013030-2d30-3032-3830-3334e718860a,"GB (2011-2012),NYJ (2013-2013)",alex-green-rb
A.Hall,00-0023764,DEN (2007-2008),andre-hall-rb
A.Hall,00-0024489,TEN (2006-2010),ahmard-hall-rb
A.Hall,32013030-2d30-3032-3434-38397cfe32a4,TEN (2011-2011),ahmard-hall-rb
A.Harris,00-0021750,"DET (2006-2006),LA (2003-2005)",arlen-harris-rb
A.Harris,32013030-2d30-3033-3138-33306a7efa61,GB (2015-2015),alonzo-harris-rb
A.Hernandez,00-0027713,NE (2010-2010),aaron-hernandez-te
A.Hernandez,32013030-2d30-3032-3737-31332ef5e9c2,NE (2011-2012),aaron-hernandez-te
A.Johnson,00-0022044,HOU (2003-2010),andre-johnson-wr
A.Johnson,32013030-2d30-3032-3230-343499436c0c,HOU (2011-2011),andre-johnson-wr
A.Johnson,00-0008430,"CAR (1999-1999),JAX (2000-2000)",ant-johnson-rb
A.Johnson,32013030-2d30-3032-3937-3239ecbc3217,NO (2014-2015),austin-johnson-fb
A.Jones,32013030-2d30-3033-3332-3933ed82c0de,GB (2017-2019),aaron-jones-rb
A.Jones,00-0023441,TEN (2005-2006),adam-jones-db
A.Lee,00-0009738,"LA (1999-1999),PHI (2000-2000)",amp-lee-rb
A.Lee,32013030-2d30-3032-3238-32349b479eae,"ARI (2019-2019),SF (2011-2014)",andy-lee-p
A.Peterson,00-0021306,CHI (2002-2009),fake-adrian-peterson-rb
A.Peterson,00-0025394,MIN (2007-2010),adrian-peterson-rb
A.Peterson,32013030-2d30-3032-3533-3934ceb6c025,"ARI (2017-2017),MIN (2011-2016),NO (2017-2017),WAS (2018-2019)",adrian-peterson-rb
A.Podlesh,00-0025488,JAX (2007-2007),adam-podlesh-p
A.Podlesh,32013030-2d30-3032-3534-3838a0367332,CHI (2011-2012),adam-podlesh-p
A.Robinson,32013030-2d30-3032-3831-3136ccfa779f,WAS (2012-2013),aldrick-robinson-wr
A.Robinson,32013030-2d30-3033-3134-3238120ea790,CHI (2019-2019),allen-robinson-wr
A.Rodgers,00-0023459,GB (2005-2010),aaron-rodgers-qb
A.Rodgers,32013030-2d30-3032-3334-35395dc60da5,GB (2011-2019),aaron-rodgers-qb
A.Smith,00-0015082,CIN (1999-2002),akili-smith-qb
A.Smith,00-0015091,"BUF (1999-2000),NE (2001-2003),NO (2005-2005),TEN (2004-2004)",antowain-smith-rb
A.Smith,00-0023436,SF (2005-2010),alex-smith-qb
A.Smith,00-0026855,ATL (2010-2010),antone-smith-rb
A.Smith,32013030-2d30-3032-3334-3336b638d37d,"KC (2013-2017),SF (2011-2012),WAS (2018-2018)",alex-smith-qb
A.Smith,32013030-2d30-3032-3638-35357b8852e7,"ATL (2013-2014),CHI (2015-2015),TB (2016-2016)",antone-smith-rb
A.Smith,32013030-2d30-3032-3733-3436badbf2c2,ARI (2011-2013),alfonso-smith-rb
A.Smith,32013030-2d30-3032-3837-303690aa9ff9,CAR (2012-2013),armond-smith-rb
A.Van Pelt,00-0016838,BUF (1999-2003),alex-van-pelt-qb
A.Van Pelt,00-0022774,DEN (2005-2005),bradlee-van-pelt-qb
B.Banks,00-0027618,WAS (2010-2010),brandon-banks-rb
B.Banks,32013030-2d30-3032-3736-31382576d40e,WAS (2011-2012),brandon-banks-rb
B.Colquitt,00-0026516,DEN (2010-2010),britton-colquitt-p
B.Colquitt,32013030-2d30-3032-3635-31361c4d7f0a,DEN (2011-2011),britton-colquitt-p
B.Fields,00-0025612,MIA (2008-2008),brandon-fields-p
B.Fields,32013030-2d30-3032-3536-31327d77bc04,MIA (2012-2013),brandon-fields-p
B.Gibson,00-0026937,LA (2010-2010),brandon-gibson-wr
B.Gibson,32013030-2d30-3032-3639-3337e550df46,LA (2011-2011),brandon-gibson-wr
B.Gradkowski,00-0024408,"CLE (2008-2008),LV (2009-2010),TB (2006-2007)",bruce-gradkowski-qb
B.Gradkowski,32013030-2d30-3032-3434-3038f524922d,"CIN (2011-2012),PIT (2014-2014)",bruce-gradkowski-qb
B.Green-Ellis,00-0025860,NE (2008-2010),benjarvus-green-ellis-rb
B.Green-Ellis,32013030-2d30-3032-3538-3630d961ca12,"CIN (2012-2013),NE (2011-2011)",benjarvus-green-ellis-rb
B.Hartline,00-0027077,MIA (2009-2010),brian-hartline-wr
B.Hartline,32013030-2d30-3032-3730-373793caffd8,MIA (2011-2011),brian-hartline-wr
B.Hill,32013030-2d30-3033-3232-39383b23dc09,"ARI (2017-2017),JAX (2016-2016)",bronson-hill-rb
B.Hill,32013030-2d30-3033-3335-36379c914315,"ATL (2018-2019),CIN (2017-2017)",brian-hill-rb
B.Hoyer,00-0026625,NE (2009-2010),brian-hoyer-qb
B.Hoyer,32013030-2d30-3032-3636-3235a601d8e5,"ARI (2012-2012),CHI (2016-2016),CLE (2013-2014),HOU (2015-2015),IND (2019-2019),NE (2011-2018),SF (2017-2017)",brian-hoyer-qb
B.Jackson,00-0025450,GB (2007-2010),brandon-jackson-rb
