commname,joinid,uniq_name
A.Allen,ant-allen-rb,Anthony Allen
A.Allen,armando-allen-rb,Armando Allen
A.Brown,ant-d-brown-wr,Antonio D. Brown
A.Brown,aaron-brown-rb,Aaron Brown
A.Brown,andre-brown-wr,Andre Brown
A.Brown,antonio-brown-wr,Antonio Brown
A.Brown,aj-brown,AJ Brown
A.Davis,andre-davis-wr,Andre Davis
A.Davis,austin-davis-qb,Austin Davis
A.Green,ahman-green-rb,Ahman Green
A.Green,aj-green-wr,AJ Green
A.Green,alex-green-rb,Alex Green
A.Hall,ahmard-hall-rb,Ahmard Hall
A.Hall,andre-hall-rb,Andre Hall
A.Harris,arlen-harris-rb,Arlen Harris
A.Harris,alonzo-harris-rb,Alonzo Harris
A.Johnson,ant-johnson-rb,Anthony Johnson
A.Johnson,andre-johnson-wr,Andre Johnson
A.Johnson,austin-johnson-fb,Austin Johnson
A.Jones,adam-jones-db,Adam Jones
A.Jones,aaron-jones-rb,Aaron Jones
A.Lee,amp-lee-rb,Amp Lee
A.Lee,andy-lee-p,Andy Lee
A.Peterson,fake-adrian-peterson-rb,Adrian Peterson (Bears)
A.Peterson,adrian-peterson-rb,Adrian Peterson (Good One)
A.Smith,antowain-smith-rb,Antowain Smith
A.Smith,akili-smith-qb,Akili Smith
A.Smith,alex-smith-qb,Alex Smith
A.Smith,antone-smith-rb,Antone Smith
A.Smith,alfonso-smith-rb,Alfonso Smith
A.Smith,armond-smith-rb,Armond Smith
A.Van Pelt,alex-van-pelt-qb,Alex Van Pelt
A.Van Pelt,bradlee-van-pelt-qb,Bradlee Van Pelt
B.Hill,bronson-hill-rb,Bronson Hill
B.Hill,brian-hill-rb,Brian Hill
B.Johnson,brad-johnson-qb,Brad Johnson
B.Johnson,bryan-johnson-fb,Bryan Johnson
B.Johnson,bethel-johnson-wr,Bethel Johnson
B.Johnson,bryant-johnson-wr,Bryant Johnson
B.Marshall,brandon-marshall-wr,Brandon Marshall
B.Marshall,byron-marshall-rb,Byron Marshall
B.Miller,britt-miller-lb,Britt Miller
B.Miller,bruce-miller-fb,Bruce Miller
B.Miller,braxton-miller-wr,Braxton Miller
B.Mitchell,brian-mitchell-rb,Brian Mitchell
B.Mitchell,basil-mitchell-rb,Basil Mitchell
B.Powell,bilal-powell-rb,Bilal Powell
B.Powell,brandon-powell-wr,Brandon Powell
B.Scott,bernard-scott-rb,Bernard Scott
